FID,important,date_note,joinID,lake_name,state_province,year,source,intro_no,fish,effect,effect_notes,fish_note,kokanee,lake_trout,rainbow,various_trout,intro_mode,Longitude_Source,about,Latitude_Source,other,alt_name,year_est,amount,est,unintentional,lon,lat
12,,,1013,Cameron Lake,British Columbia,1973,Kootenay Lake,1,kokanee,not_established,Not established.,,Primary,,,,Introduced,-116.87,,49.6,,,,150000,No,,-124.64,49.29
13,,,1014,Canim Lake,British Columbia,1967,Kootenay Lake,1,kokanee,kokanee_neg,Decrease in abundance of Kokanee salmon. No information Lake Trout.,,Primary,Primary,,,Introduced,-116.87,,49.6,,,,325000,Yes,,-120.75,51.86
21,,,1016,Christina Lake,British Columbia,1968,Kootenay Lake,1,kokanee,No change in size of Kokanee salmon,No change in size of Kokanee salmon,,Primary,,,,Introduced,-116.87,,49.6,,,,80000,Yes,,-118.25,49.11
38,,,1021,Duncan Lake,British Columbia,1975,Kootenay Lake,1,kokanee,No change in abundance or size of Kokanee salmon.,No change in abundance or size of Kokanee salmon.,,Primary,,,,Introduced,-116.87,,49.6,,,,100000,Yes,,-116.97,50.39
39,,,1086,Echo Lake (BC),British Columbia,1980,Pinaus Lake,1,kokanee,no_info,No information.,,Primary,,,,Introduced,-119.59,,50.43,,,,225000,,,-118.71,50.2
49,,,1071,Grave Lake,British Columbia,1979,Moyie Lake,1,kokanee,not_established,Not established.,,Primary,,Primary,,Introduced,-115.84,,49.33,,,,250000,No,,-114.83,49.86
65,,,1022,Kalamalka Lake,British Columbia,1965,Kootenay Lake,1,kokanee,kokanee_neg,Decrease in abundance of Kokanee salmon. No change in size of Kokanee salmon.,,Primary,,,,Introduced,-116.87,,49.6,,,,145000,Yes,,-119.31,50.19
,,,1023,Kalamalka Lake,British Columbia,1966,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,95000,,,-119.31,50.19
69,,,1000,Lac La Hache,British Columbia,1975,Canim Lake,1,kokanee,not_established,Not established.,,Primary,,,,Introduced,-120.75,,51.86,,,,30000,No,,-121.5,51.81
,,,1001,Lac La Hache,British Columbia,1976,Canim Lake,2,kokanee,,,,,,,,Introduced,-120.75,,51.86,,,,200000,,,-121.5,51.81
84,,,1029,Lower Arrow Lake,British Columbia,1974,Kootenay Lake,1,kokanee,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,,Primary,,,,Introduced,-116.87,,49.6,,,,100000,Yes,,-118.07,49.42
91,,,1081,Missezula Lake,British Columbia,1975,Okanagan Lake,1,kokanee,not_established,Not established.,,Primary,,,,Introduced,-119.54,,49.83,,,,20000,No,,-120.52,49.79
,,,1082,Missezula Lake,British Columbia,1976,Okanagan Lake,2,kokanee,,,,,,,,Introduced,-119.54,,49.83,,,,200000,,,-120.52,49.79
93,,,1031,Moyie Lake,British Columbia,1970,Kootenay Lake,1,kokanee,Decrease in abundance of Kokanee salmon. No change in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. No change in size of Kokanee salmon.,,Primary,,,,Introduced,-116.87,,49.6,,,,250000,Yes,,-115.84,49.33
97,1,,1032,Okanagan Lake,British Columbia,1966,Kootenay Lake,1,kokanee,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,,Primary,,,,Introduced,-116.87,,49.6,,,,240000,Yes,,-119.54,49.83
100,,,1084,Otter Lake,British Columbia,1975,Okanagan Lake,1,kokanee,not_established,Not established.,,Primary,,,,Introduced,-119.54,,49.83,,,,,No,,-120.77,49.58
120,,,1045,Slocan Lake,British Columbia,1973,Kootenay Lake,1,kokanee,Increase in size of Kokanee salmon.,Increase in size of Kokanee salmon.,,Primary,,,,Introduced,-116.87,,49.6,,,,100000,Yes,,-117.43,49.88
,,,1046,Slocan Lake,British Columbia,1974,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,100000,,,-117.43,49.88
135,,,1049,Upper Arrow Lake,British Columbia,1968,Kootenay Lake,1,kokanee,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,,Primary,,,,Introduced,-116.87,,49.6,,,,100000,Yes,,-117.84,50.25
,,,1050,Upper Arrow Lake,British Columbia,1974,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,500000,,,-117.84,50.25
144,,,1056,Whatshan Lake,British Columbia,1974,Kootenay Lake,1,kokanee,not_established,Not established.,,Primary,,,,Introduced,-116.87,,49.6,,,,100000,No,,-118.09,49.97
149,,,1057,Wood Lake,British Columbia,1966,Kootenay Lake,1,kokanee,not_established,Not established.,,Primary,,,,Introduced,-116.87,,49.6,,,,90000,No,,-119.38,50.1
74,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1124,Lake Granby,Colorado,1971,Twin Lakes Reservoir,1,kokanee,Decline/changes in Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/changes in Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,,Primary,,,,Introduced,-106.33,,39.08,,,1986,,Yes,,-105.86,40.16
0,,,1155,Alturas Lake,Idaho,1966,Waterton Lake,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,,50000,,,-114.86,43.91
,,,1009,Alturas Lake,Idaho,1967,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-105.81,,40.24,,,,60000,,,-114.86,43.91
,,,1010,Alturas Lake,Idaho,1968,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-105.81,,40.24,,,,42000,,,-114.86,43.91
1,,,1156,Anderson Ranch Reservoir,Idaho,1965,Waterton Lake,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,,30000,,,-115.36,43.4
,,,1011,Anderson Ranch Reservoir,Idaho,1966,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-105.81,,40.24,,,,100000,,,-115.36,43.4
,,,1012,Anderson Ranch Reservoir,Idaho,1967,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-105.81,,40.24,,,,100000,,,-115.36,43.4
24,2,,1017,Coeur D Alene Lake,Idaho,1968,Kootenay Lake,1,kokanee,not_established,Not established.,,,,,,Introduced,-116.87,,49.6,,,,200000,No,,-116.8,47.54
,,,1018,Coeur D Alene Lake,Idaho,1969,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,100000,,,-116.8,47.54
,,,1019,Coeur D Alene Lake,Idaho,1974,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,,,,-116.8,47.54
79,1,,1163,Lake Pend Oreille,Idaho,1966,Waterton Lake,1,kokanee,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ,,,,,,Introduced,-113.9,,48.98,,,1973,50000,Yes,,-116.33,48.18
,,,1027,Lake Pend Oreille,Idaho,1967,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,210000,,,-116.33,48.18
,,,1028,Lake Pend Oreille,Idaho,1968,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,300000,,,-116.33,48.18
101,,,1033,Palisades Lake,Idaho,1969,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,40000,,,-113.58,47.69
102,,,1034,Palisades Reservoir,Idaho,1968,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,115500,,,-111.11,43.23
,,,1035,Palisades Reservoir,Idaho,1969,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,210000,,,-111.11,43.23
104,,,1165,Payette Lake,Idaho,1966,Waterton Lake,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,,100000,,,-116.09,44.95
,,,1036,Payette Lake,Idaho,1967,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,100000,,,-116.09,44.95
,,,1037,Payette Lake,Idaho,1968,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,94500,,,-116.09,44.95
106,,,1038,Pettit Lake,Idaho,1967,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,40000,,,-114.88,43.98
109,1,,1193,Priest Lake,Idaho,1965,Waterton Lake ,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,1969,295000,Yes,,-116.87,48.59
,1,,1194,Priest Lake,Idaho,1966,Waterton Lake ,2,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,,400000,,,-116.87,48.59
,,,1041,Priest Lake,Idaho,1967,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,300000,,,-116.87,48.59
