"FID","Important","Date_Note","JoinID","Rainbow Trout","Introduction_Mode","Longitude_Source","About","Introduction_Number","Latitude_Source","Other","Effect","Alternate Name","Kokanee","Year_Established","Amount","Established","Source","VariouSecondary Trout","Lake Name","Year","Unintentional","State_Province","Lake Trout","lon","lat"
,,,1010,,"Introduced",-105.81,,3,40.24,,,,,,42000,,"Kootenay Lake",,"Alturas Lake",1968,,"Idaho",,-114.86,43.91
131,,,1199,,"Introduced",-113.9,,1,48.98,,,"Claire Engle Lake, Claire Eagle Lake",,,16400,,"Waterton Lake ",,"Trinity Lake",1967,,"California",,-122.75,40.8
,,,1001,,"Introduced",-120.75,,2,51.86,,,,,,200000,,"Canim Lake",,"Lac La Hache",1976,,"British Columbia",,-121.5,51.81
142,,,1055,,"Introduced",-116.87,,1,49.6,,,,,,75000,,"Kootenay Lake",,"Warm Lake",1969,,"Idaho",,-115.67,44.64
11,,,1063,,"Introduced",-114.83,,1,48.03,,,,,,6000,,"McGregor Lake  ",,"Bull Lake",1975,,"Montana",,-115.85,48.23
,,,1011,,"Introduced",-105.81,,2,40.24,,,,,,100000,,"Kootenay Lake",,"Anderson Ranch Reservoir",1966,,"Idaho",,-115.36,43.4
109,1,,1193,,"Introduced",-113.9,,1,48.98,,,,,1969,295000,"Yes","Waterton Lake ",,"Priest Lake",1965,,"Idaho",,-116.87,48.59
,,,1175,,"Introduced",-113.9,,3,48.98,,,,,,100000,,"Waterton Lake ",,"Cultus Lake",1967,,"Oregon",,-121.85,43.84
,,,1092,,"Introduced",-106.33,,2,39.08,,,,,,,,"Twin Lakes Reservoir",,"Big Creek Lake",1971,,"Colorado",,-106.73,40.66
43,2,"The source is referred to as high mountain lake of Colorado, which was probably Twin Lakes.",1113,,"Introduced",-106.33,,1,39.08,"Primary",,,,,,,"Twin Lakes Reservoir",,"Fontana Lake",1981,,"North Carolina",,-83.66,35.42
126,2,,1069,,"Introduced",-114.83,,1,48.03,,,,,1980,14000,"Yes","McGregor Lake  ",,"Swan Lake",1975,,"Montana",,-113.88,47.94
113,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1141,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Roxy Ann Lake",1971,,"Colorado","Primary",-106.65,40.67
,,,1204,,"Introduced",-113.9,,2,48.98,,,,,,130000,,"Waterton Lake ",,"Wallowa Lake",1966,,"Oregon",,-117.21,45.31
130,,,1196,,"Introduced",-113.9,,1,48.98,,"Not established.","Timothy Reservoir",,,20000,"No","Waterton Lake ",,"Timothy Lake",1965,,"Oregon",,-121.78,45.12
,,,1050,,"Introduced",-116.87,,2,49.6,,,,,,500000,,"Kootenay Lake",,"Upper Arrow Lake",1974,,"British Columbia",,-117.84,50.25
25,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1105,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Crater Lakes",1972,,"Colorado","Primary",-105.68,39.9
89,,"No mysis were found in 1980.",1067,,"Introduced",-114.83,,1,48.03,,"Not established.",,,,14000,"No","McGregor Lake  ",,"Middle Thompson Lake",1975,,"Montana",,-115.07,48.03
107,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1138,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Pierre Lakes",1972,,"Colorado","Primary",-107.07,39.14
111,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1140,,"Introduced",-106.33,,1,39.08,,,"Rawah Lake Number 4","Secondary",,,,"Twin Lakes Reservoir",,"Rawah Lakes",1971,,"Colorado","Primary",-105.96,40.68
68,1,,1161,"Primary","Introduced",-113.9,,1,48.98,,"Decline/changes in Daphnia species (zooplankton). Decreased abundance of Rainbow trout but increased size.",,,1960,6250,"Yes","Waterton Lake",,"Kootenay Lake",1949,,"British Columbia",,-116.87,49.6
,,,1174,,"Introduced",-113.9,,2,48.98,,,,,,90000,,"Waterton Lake ",,"Cultus Lake",1966,,"Oregon",,-121.85,43.84
55,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1118,,"Introduced",-106.33,,1,39.08,,,,"Secondary",1993,,"Yes","Twin Lakes Reservoir",,"Gross Reservoir",1971,,"Colorado","Primary",-105.36,39.95
67,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1123,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Kelly Lake",1971,,"Colorado","Primary",-105.96,40.63
141,2,,1203,,"Introduced",-113.9,,1,48.98,,,,,1986,130000,"Yes","Waterton Lake ",,"Wallowa Lake",1965,,"Oregon",,-117.21,45.31
,,,1028,,"Introduced",-116.87,,3,49.6,,,,,,300000,,"Kootenay Lake",,"Lake Pend Oreille",1968,,"Idaho",,-116.33,48.18
37,,,1177,,"Introduced",-113.9,,1,48.98,,"Virtual disappearance of Daphnia species (zooplankton).",,,,26000,"Yes","Waterton Lake ",,"Donner Lake",1965,,"California",,-120.27,39.32
82,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1132,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Little Echo Lake",1971,,"Colorado","Primary",-105.67,39.86
129,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1149,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Timberline Lake",1971,,"Colorado","Primary",-105.68,40.6
,,,1205,,"Introduced",-113.9,,3,48.98,,,,,,130000,,"Waterton Lake ",,"Wallowa Lake",1967,,"Oregon",,-117.21,45.31
,,,1023,,"Introduced",-116.87,,2,49.6,,,,,,95000,,"Kootenay Lake",,"Kalamalka Lake",1966,,"British Columbia",,-119.31,50.19
10,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1096,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Bowl of Tears Lake",1972,,"Colorado","Primary",-106.47,39.46
136,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1151,,"Introduced",-106.33,,1,39.08,,,,"Secondary",,,,"Twin Lakes Reservoir",,"Upper Camp Lake",1971,,"Colorado","Primary",-105.92,40.68
49,,,1071,"Primary","Introduced",-115.84,,1,49.33,,"Not established.",,"Primary",,250000,"No","Moyie Lake",,"Grave Lake",1979,,"British Columbia",,-114.83,49.86
66,,,1181,,"Introduced",-113.9,,1,48.98,,,,,,28100,,"Waterton Lake ",,"Kangaroo Lake",1967,,"California",,-122.78,41.23
5,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1091,,"Introduced",-106.33,,1,39.08,,,,"Secondary",1991,,"Yes","Twin Lakes Reservoir",,"Big Creek Lake",1969,,"Colorado","Primary",-106.73,40.66
64,2,"The number introduced is approximated from a report that a total of 50,000 mysis shrimp were introduced into Maine lakes in 1975.",1059,,"Introduced",-72.22,,1,44.98,,"Not established.",,,,,"No","Lake Memphremagog",,"Jordan Pond",1971,,"Maine",,-68.26,44.33
19,,"The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.",1100,,"Introduced",-106.33,,1,39.08,,,"Chapman Dam","Secondary",,,,"Twin Lakes Reservoir",,"Chapman Reservoir",1970,,"Colorado","Primary",-106.64,39.32
99,,"Date for introduction is approximate.",1083,,"Downstream drift",-119.54,,1,49.83,,,,,1999," ","Yes","Okanagan Lake",,"Osoyoos Lake",1990,"Primary","British Columbia",,-119.44,48.99
,,,1136,,"Introduced",-106.33,,1,39.08,,,,,,,"No","Twin Lakes Reservoir",,"Pactola Lake",1973,,"South Dakota",,-103.51,44.08
