lake_name,lake_name_note,lon,lat,state_province,year,year_note,source,source_note,long_source,lat_source,intro_no,fish,fish_note,amount,amount_note,established,year_established,effect_note,effect_note,importance,about,joinID
Lower Kananaskis Lake,,-115.14,50.65,Alberta,1967,,Kootenay Lake,,-116.87,49.6,1,rainbow,,,"One report states that ""thousands"" were introduced.",yes,1982,,,,,1030
Upper Kananaskis Lake,,-115.16,50.62,Alberta,1967,,Kootenay Lake,,-116.87,49.6,1,rainbow,,,"One report states that ""thousands"" were introduced.",yes,1982,,,,,1051
Crowsnest Lake,,-114.64,49.63,Alberta,1973,,Kootenay Lake,,-116.87,49.6,1,lake,"primarily lake trout, but also kokanee",75000,,no,,,Not established.,,,1020
Spray Lakes,,-115.37,50.88,Alberta,1982,,Upper Kananskis Lake,,-115.16,50.62,1,lake,Primarily lake trout. But also kokanee.,,,no,,,Not established.,,,1154
Kootenay Lake,,-116.87,49.6,British Columbia,1949,,Waterton Lake,,-113.9,48.98,1,rainbow,,6250,,yes,1960,Decline/changes in Daphnia species (zooplankton). Decreased abundance of Rainbow trout but increased size.,Decline/changes in Daphnia species (zooplankton). Decreased abundance of Rainbow trout but increased size.,1,,1161
Kootenay Lake,,-116.87,49.6,British Columbia,1950,,Waterton Lake,,-113.9,48.98,2,rainbow,,6250,,,,,,,,1162
Kalamalka Lake,,-119.31,50.19,British Columbia,1965,,Kootenay Lake,,-116.87,49.6,1,kokanee,,145000,,yes,,kokanee_neg,Decrease in abundance of Kokanee salmon. No change in size of Kokanee salmon.,,,1022
Pinaus Lake,,-119.59,50.43,British Columbia,1965,,Kootenay Lake,,-116.87,49.6,1,rainbow,,80000,,yes,,Increase in size of Rainbow trout.,Increase in size of Rainbow trout.,,,1039
Kalamalka Lake,,-119.31,50.19,British Columbia,1966,,Kootenay Lake,,-116.87,49.6,2,kokanee,,95000,,,,,,,,1023
Okanagan Lake,,-119.54,49.83,British Columbia,1966,,Kootenay Lake,,-116.87,49.6,1,kokanee,,240000,,yes,,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,1,,1032
Wood Lake,,-119.38,50.1,British Columbia,1966,,Kootenay Lake,,-116.87,49.6,1,kokanee,,90000,,no,,not_established,Not established.,,,1057
Pinaus Lake,,-119.59,50.43,British Columbia,1966,,Kootenay Lake,,-116.87,49.6,2,rainbow,,90000,,,,,,,,1040
Canim Lake,,-120.75,51.86,British Columbia,1967,,Kootenay Lake,,-116.87,49.6,1,kokanee,,325000,,yes,,kokanee_neg,Decrease in abundance of Kokanee salmon. No information Lake Trout.,,,1014
Christina Lake,,-118.25,49.11,British Columbia,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,80000,,yes,,No change in size of Kokanee salmon,No change in size of Kokanee salmon,,,1016
Upper Arrow Lake,,-117.84,50.25,British Columbia,1968,,Kootenay Lake,,-116.87,49.6,1,kokanee,,100000,,yes,,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,,,1049
Canim Lake,,-120.75,51.86,British Columbia,1968,,Kootenay Lake,,-116.87,49.6,2,lake,,300000,,,,,,,,1015
Moyie Lake,,-115.84,49.33,British Columbia,1970,,Kootenay Lake,,-116.87,49.6,1,kokanee,,250000,,yes,,Decrease in abundance of Kokanee salmon. No change in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. No change in size of Kokanee salmon.,,,1031
Capitol Lake,,-107.08,39.16,Colorado,1972,,Twin Lakes Reservoir,,-106.33,39.08,1,lake,Primarily lake trout but also kokanee. The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,,,,,,,,,1097
Cameron Lake,,-124.64,49.29,British Columbia,1973,,Kootenay Lake,,-116.87,49.6,1,kokanee,,150000,,no,,not_established,Not established.,,,1013
Slocan Lake,,-117.43,49.88,British Columbia,1973,,Kootenay Lake,,-116.87,49.6,1,kokanee,,100000,,yes,,Increase in size of Kokanee salmon.,Increase in size of Kokanee salmon.,,,1045
Lower Arrow Lake,,-118.07,49.42,British Columbia,1974,,Kootenay Lake,,-116.87,49.6,1,kokanee,,100000,,yes,,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,,,1029
Slocan Lake,,-117.43,49.88,British Columbia,1974,,Kootenay Lake,,-116.87,49.6,2,kokanee,,100000,,,,,,,,1046
Upper Arrow Lake,,-117.84,50.25,British Columbia,1974,,Kootenay Lake,,-116.87,49.6,2,kokanee,,500000,,,,,,,,1050
Whatshan Lake,,-118.09,49.97,British Columbia,1974,,Kootenay Lake,,-116.87,49.6,1,kokanee,,100000,,no,,not_established,Not established.,,,1056
Lac La Hache,,-121.5,51.81,British Columbia,1975,,Canim Lake,,-120.75,51.86,1,kokanee,,30000,,no,,not_established,Not established.,,,1000
Duncan Lake,,-116.97,50.39,British Columbia,1975,,Kootenay Lake,,-116.87,49.6,1,kokanee,,100000,,yes,,No change in abundance or size of Kokanee salmon.,No change in abundance or size of Kokanee salmon.,,,1021
Missezula Lake,,-120.52,49.79,British Columbia,1975,,Okanagan Lake,,-119.54,49.83,1,kokanee,,20000,,no,,not_established,Not established.,,,1081
Otter Lake,,-120.77,49.58,British Columbia,1975,,Okanagan Lake,,-119.54,49.83,1,kokanee,,,,no,,not_established,Not established.,,,1084
Lac La Hache,,-121.5,51.81,British Columbia,1976,,Canim Lake,,-120.75,51.86,2,kokanee,,200000,,,,,,,,1001
Missezula Lake,,-120.52,49.79,British Columbia,1976,,Okanagan Lake,,-119.54,49.83,2,kokanee,,200000,,,,,,,,1082
Grave Lake,,-114.83,49.86,British Columbia,1979,,Moyie Lake,,-115.84,49.33,1,kokanee,,250000,,no,,not_established,Not established.,,,1071
Skaha Lake,,-119.59,49.41,British Columbia,1980,Date for introduction is approximate.,Okanagan Lake,Downstream drift,-119.54,49.83,1,unintentional,, ,,yes,,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,Decrease in abundance of Kokanee salmon. Increase in size of Kokanee salmon.,,,1085
Echo Lake (BC),,-118.71,50.2,British Columbia,1980,,Pinaus Lake,,-119.59,50.43,1,kokanee,,225000,,,,no_info,No information.,,,1086
Osoyoos Lake,,-119.44,48.99,British Columbia,1990,Date for introduction is approximate.,Okanagan Lake,Downstream drift,-119.54,49.83,1,unintentional,, ,,yes,1999,,,,,1083
